PI,BLUP
PI_329435,28.00403116
PI_533750,32.58657552
PI_533752,38.35567705
PI_533754,28.99070406
PI_533757,30.3342351
PI_533758,33.45464174
PI_533759,35.13228407
PI_533761,31.96511049
PI_533766,33.01035595
PI_533769,34.37031986
PI_533785,32.23740847
PI_533792,24.85864516
PI_533794,26.68410574
PI_533799,27.76462546
PI_533800,38.93420387
PI_533807,33.15072883
PI_533810,29.07786974
PI_533814,30.03290971
PI_533821,32.13091
PI_533824,32.75025984
PI_533830,33.46320828
PI_533842,34.47020596
PI_533845,32.11858184
PI_533852,36.12534626
PI_533856,29.90859145
PI_533863,34.3699276
PI_533866,28.2946785
PI_533869,34.68149377
PI_533871,33.33385448
PI_533877,40.50913398
PI_533902,31.92693503
PI_533903,33.25807066
PI_533910,30.75287413
PI_533911,30.66996726
PI_533912,34.4618004
PI_533915,45.80268435
PI_533919,31.37367682
PI_533921,37.33255203
PI_533924,37.81872974
PI_533936,29.6980041
PI_533937,38.99637701
PI_533938,29.11196831
PI_533940,46.95815067
PI_533949,37.54434418
PI_533954,37.88429313
PI_533955,34.74831799
PI_533956,38.39305081
PI_533957,28.62892867
PI_533961,27.89106041
PI_533962,37.85571422
PI_533964,30.3832157
PI_533965,34.89695635
PI_533967,28.74243178
PI_533972,31.64532068
PI_533976,39.09368541
PI_533980,36.00296021
PI_533985,42.47740048
PI_533986,45.22792455
PI_533987,34.38476692
PI_533991,36.24195836
PI_533996,26.14609373
PI_533997,31.60979317
PI_533998,36.28905258
PI_534009,33.41752138
PI_534021,35.61832169
PI_534028,28.48911615
PI_534037,40.90570045
PI_534046,29.11389317
PI_534054,32.69862246
PI_534063,29.76987165
PI_534070,29.86887445
PI_534079,33.62749232
PI_534097,31.05345384
PI_534099,32.72748076
PI_534101,39.06916918
PI_534104,32.99530999
PI_534105,38.80982957
PI_534108,32.90758394
PI_534112,31.08097123
PI_534114,29.41755993
PI_534116,30.01329673
PI_534117,39.86645881
PI_534123,31.68549926
PI_534124,29.3812545
PI_534127,40.09610473
PI_534137,36.05364575
PI_534138,29.86415404
PI_534145,30.48291549
PI_534148,33.49574914
PI_534155,45.59737564
PI_534163,30.61104427
PI_542406,39.7405849
PI_548797,30.05546464
PI_552861,28.67714858
PI_561072,30.81062034
PI_564165,30.13613001
PI_574455,26.63255163
PI_576333,29.27285077
PI_576339,31.33851766
PI_576340,34.71609667
PI_576345,20.7156369
PI_576347,27.97604064
PI_576348,34.21394839
PI_576349,35.33101957
PI_576350,40.68492836
PI_576352,34.01483789
PI_576359,36.80630434
PI_576366,35.95877497
PI_576373,39.80827179
PI_576375,33.35826216
PI_576376,30.47969336
PI_576380,30.45870747
PI_576381,32.05876226
PI_576387,38.17837437
PI_576390,28.50968176
PI_576393,30.20886614
PI_576394,30.75825369
PI_576396,36.42250984
PI_576401,39.81454641
PI_576422,35.82694774
PI_576425,30.31310912
PI_576428,36.58837959
PI_585291,29.86569506
PI_585295,27.44878775
PI_595702,36.46773176
PI_595718,31.61567706
PI_595720,29.83579928
PI_595739,30.83479956
PI_595740,24.06823877
PI_595741,33.96909436
PI_595743,25.74584888
