PI,BLUP
PI_329435,34.4481939
PI_533750,35.62878649
PI_533752,34.25632245
PI_533754,36.16160213
PI_533757,35.99435411
PI_533758,33.45149335
PI_533759,35.85784464
PI_533761,36.22541691
PI_533766,36.39107126
PI_533769,36.11218521
PI_533785,35.38544321
PI_533792,30.75319626
PI_533794,33.47356657
PI_533799,31.66649314
PI_533800,36.60529158
PI_533807,35.82237273
PI_533810,34.95238259
PI_533814,34.99414676
PI_533821,35.40030939
PI_533824,33.20569906
PI_533830,36.6180944
PI_533842,32.37890444
PI_533845,35.81542856
PI_533852,35.76937584
PI_533856,35.8187731
PI_533863,36.13296101
PI_533866,34.03959632
PI_533869,35.07360782
PI_533871,35.638807
PI_533877,41.32681201
PI_533902,35.13986079
PI_533903,35.20542935
PI_533910,34.93181936
PI_533911,35.69414665
PI_533912,34.68202793
PI_533915,46.82074163
PI_533919,34.43802874
PI_533921,32.92990245
PI_533924,36.02962054
PI_533936,34.27939407
PI_533937,36.99379619
PI_533938,34.03517214
PI_533940,40.71695971
PI_533949,32.85551488
PI_533954,38.38525039
PI_533955,36.53801824
PI_533956,38.5761375
PI_533957,34.42738976
PI_533961,38.37289262
PI_533962,37.9396761
PI_533964,44.53747227
PI_533965,35.47506542
PI_533967,35.37387906
PI_533972,35.97901318
PI_533976,37.80810549
PI_533980,36.26643772
PI_533985,40.65746527
PI_533986,39.42148945
PI_533987,36.11787386
PI_533991,34.18580377
PI_533996,32.75784312
PI_533997,35.35174277
PI_533998,33.64586081
PI_534009,41.63440968
PI_534021,36.40250787
PI_534028,34.35774973
PI_534037,38.45494711
PI_534046,33.31360544
PI_534054,36.16177052
PI_534063,36.68563128
PI_534070,35.76055044
PI_534079,36.08788064
PI_534097,35.09724238
PI_534099,36.40382585
PI_534101,38.45052552
PI_534105,37.53006974
PI_534108,35.61760497
PI_534112,34.97008311
PI_534114,34.93766514
PI_534116,34.4278716
PI_534117,38.75478344
PI_534123,34.32443192
PI_534124,34.58404439
PI_534127,33.99085705
PI_534137,34.29355166
PI_534138,34.94567934
PI_534145,34.64648516
PI_534148,34.72872388
PI_534155,37.17960989
PI_534163,35.07442978
PI_542406,41.3762889
PI_548797,35.40912422
PI_552861,34.67019451
PI_561072,35.12203272
PI_564165,34.37401891
PI_574455,34.22452102
PI_576333,34.67719536
PI_576337,45.29916999
PI_576339,34.60504693
PI_576340,35.45188042
PI_576345,30.39881261
PI_576347,35.49058349
PI_576348,36.1949908
PI_576349,36.75056628
PI_576350,38.36956226
PI_576352,41.62423841
PI_576359,36.595265
PI_576366,36.14859246
PI_576373,38.48640978
PI_576375,36.37154258
PI_576376,34.92977863
PI_576380,35.37987371
PI_576381,35.2338479
PI_576387,40.25363516
PI_576390,34.44870408
PI_576393,34.70420673
