"Var1","Freq"
"1","S01_15886464",1
"2","S01_16539139",2
"3","S01_16648424",1
"4","S01_16648615",1
"5","S01_19018624",1
"6","S01_19376248",2
"7","S01_21721142",1
"8","S01_28333658",1
"9","S01_29807345",1
"10","S01_30663222",1
"11","S01_36400575",2
"12","S01_49128721",1
"13","S01_49682712",2
"14","S01_50006836",1
"15","S01_53602980",4
"16","S01_57951244",3
"17","S01_66230683",1
"18","S01_70170019",2
"19","S01_72632330",2
"20","S01_72691990",4
"21","S01_73037148",2
"22","S01_73284191",1
"23","S01_73805894",1
"24","S01_73862191",1
"25","S01_74056342",2
"26","S01_74405579",1
"27","S01_74700993",1
"28","S01_74711768",1
"29","S01_74713287",1
"30","S01_74746441",1
"31","S01_74970244",1
"32","S01_75472216",1
"33","S01_9234460",1
"34","S02_10200697",1
"35","S02_10242834",1
"36","S02_10329830",1
"37","S02_10853607",1
"38","S02_13500289",8
"39","S02_13500331",3
"40","S02_13509125",1
"41","S02_33407040",1
"42","S02_3571146",1
"43","S02_4448864",1
"44","S02_50602039",1
"45","S02_58687615",1
"46","S02_58810326",1
"47","S02_58823938",1
"48","S02_60882038",1
"49","S02_69650668",1
"50","S02_69733491",1
"51","S02_69733719",1
"52","S02_70170651",1
"53","S02_70460263",1
"54","S02_76038422",1
"55","S03_10606358",4
"56","S03_11078757",1
"57","S03_12513724",1
"58","S03_15853343",1
"59","S03_17250239",1
"60","S03_17328652",1
"61","S03_4663143",1
"62","S03_50092077",1
"63","S03_55916096",1
"64","S03_56014004",1
"65","S03_5603355",1
"66","S03_5906615",1
"67","S03_64945798",13
"68","S03_64963628",1
"69","S03_69886501",1
"70","S04_18963714",1
"71","S04_24114908",1
"72","S04_27578653",2
"73","S04_40703353",1
"74","S04_49279821",3
"75","S04_54558557",1
"76","S04_56267791",3
"77","S04_61829118",12
"78","S04_64958459",1
"79","S04_66083258",9
"80","S04_67754321",1
"81","S04_7048942",1
"82","S04_895820",2
"83","S04_948582",10
"84","S05_12373661",1
"85","S05_13362813",1
"86","S05_13557187",1
"87","S05_14520419",1
"88","S05_15040110",1
"89","S05_3982937",1
"90","S05_4085851",1
"91","S05_45896804",1
"92","S05_51880283",3
"93","S05_52140356",2
"94","S05_52243183",2
"95","S05_5808126",1
"96","S05_59777598",1
"97","S05_59810574",4
"98","S05_62676482",4
"99","S05_69562874",2
"100","S05_69988990",1
"101","S05_8062427",2
"102","S05_9066258",2
"103","S05_9764861",1
"104","S06_10827973",1
"105","S06_1436544",1
"106","S06_15569806",4
"107","S06_24439235",2
"108","S06_3091986",1
"109","S06_46835232",1
"110","S06_48576841",4
"111","S06_48798638",1
"112","S06_48810661",1
"113","S06_49773496",1
"114","S06_49816967",13
"115","S06_50021187",4
"116","S06_50996191",1
"117","S06_51551522",1
"118","S06_51558458",3
"119","S06_51560721",2
"120","S06_54592425",2
"121","S06_54988293",3
"122","S06_56926771",1
"123","S06_58213873",1
"124","S06_58599825",1
"125","S06_59862331",1
"126","S07_3006406",1
"127","S07_3116870",2
"128","S07_4674768",1
"129","S07_58369896",1
"130","S07_58678046",1
"131","S07_59128806",1
"132","S07_59143524",2
"133","S07_59147212",1
"134","S07_59179916",1
"135","S07_59180262",3
"136","S07_59183649",8
"137","S07_59186523",1
"138","S07_59339254",1
"139","S07_59556182",24
"140","S07_59575509",1
"141","S07_59604745",2
"142","S07_59609295",1
"143","S07_59629436",48
"144","S07_59815436",2
"145","S07_60021883",1
"146","S07_60022474",1
"147","S07_61947570",1
"148","S07_64454398",1
"149","S07_64902348",1
"150","S07_9272579",1
"151","S07_9539899",1
"152","S08_1799445",1
"153","S08_1884066",2
"154","S08_2975924",1
"155","S08_46130114",1
"156","S08_46191271",1
"157","S08_52246027",1
"158","S08_52434772",1
"159","S08_53818191",1
"160","S08_56050272",1
"161","S08_57065437",1
"162","S08_6646752",39
"163","S09_1074220",1
"164","S09_1126262",3
"165","S09_1210054",1
"166","S09_20430192",1
"167","S09_3266406",1
"168","S09_49294436",1
"169","S09_50081318",1
"170","S09_50508651",1
"171","S09_55538564",1
"172","S09_58166918",1
"173","S09_6595997",1
"174","S09_9765867",1
"175","S10_1074800",1
"176","S10_11595700",1
"177","S10_1273777",1
"178","S10_12773662",1
"179","S10_13125347",1
"180","S10_14444188",1
"181","S10_14476183",2
"182","S10_19869767",1
"183","S10_2334365",16
"184","S10_2485533",1
"185","S10_311148",11
"186","S10_32674073",1
"187","S10_32912939",1
"188","S10_51366842",1
"189","S10_52750934",1
"190","S10_52765800",2
"191","S10_53096543",1
"192","S10_53456199",1
"193","S10_55392759",1
"194","S10_55837574",2
"195","S10_59228749",1
"196","S10_9060174",1
