"Var1","Freq"
"1","S01_14095769",1
"2","S01_16648424",5
"3","S01_16648615",2
"4","S01_19863444",1
"5","S01_20426823",1
"6","S01_25893814",1
"7","S01_25928587",1
"8","S01_26099371",1
"9","S01_2879740",2
"10","S01_33299862",1
"11","S01_34897127",1
"12","S01_36710760",1
"13","S01_39439886",3
"14","S01_39452127",1
"15","S01_39452153",2
"16","S01_48192234",1
"17","S01_49128721",1
"18","S01_53887882",2
"19","S01_53983088",1
"20","S01_57204835",2
"21","S01_63849704",30
"22","S01_76056361",1
"23","S02_10853607",1
"24","S02_11078565",2
"25","S02_1169369",4
"26","S02_13500289",1
"27","S02_13500331",1
"28","S02_13509125",2
"29","S02_15266733",1
"30","S02_15937598",1
"31","S02_34096438",1
"32","S02_38135111",1
"33","S02_41451170",1
"34","S02_41451501",1
"35","S02_43218740",1
"36","S02_43230401",2
"37","S02_53789024",2
"38","S02_5388392",2
"39","S02_5413249",3
"40","S02_54635564",3
"41","S02_6045161",1
"42","S02_60805617",1
"43","S02_60856730",1
"44","S02_65766857",1
"45","S02_67057477",1
"46","S02_67057499",1
"47","S02_67057574",1
"48","S02_73997313",1
"49","S02_74156851",1
"50","S03_10032327",1
"51","S03_10606358",2
"52","S03_15989914",1
"53","S03_23722726",1
"54","S03_3225881",1
"55","S03_3227624",1
"56","S03_52821316",1
"57","S03_52832097",2
"58","S03_53005165",1
"59","S03_57518843",8
"60","S03_5807194",2
"61","S03_64945798",10
"62","S03_64963628",6
"63","S03_64975639",1
"64","S03_70856879",1
"65","S03_70951695",1
"66","S03_71010509",1
"67","S03_72216938",1
"68","S03_8829373",1
"69","S04_10610334",2
"70","S04_14861117",1
"71","S04_16448365",6
"72","S04_24848902",1
"73","S04_280404",1
"74","S04_33279823",1
"75","S04_3794155",1
"76","S04_381124",1
"77","S04_48634749",3
"78","S04_52354838",1
"79","S04_57906060",1
"80","S04_60986173",2
"81","S04_61038041",2
"82","S04_61893566",2
"83","S04_62727257",1
"84","S04_68062550",1
"85","S04_9477228",3
"86","S05_1216238",1
"87","S05_18777614",1
"88","S05_18801806",1
"89","S05_22340727",8
"90","S05_50895111",1
"91","S05_51880283",9
"92","S05_58241974",1
"93","S05_59810574",6
"94","S05_61866536",1
"95","S05_63661016",1
"96","S05_70410099",1
"97","S05_7153787",2
"98","S05_8335208",1
"99","S06_12782514",1
"100","S06_15569806",1
"101","S06_1594624",1
"102","S06_4287867",1
"103","S06_50433885",1
"104","S06_53650828",1
"105","S06_54988293",14
"106","S06_7536077",1
"107","S07_13267697",1
"108","S07_17697689",1
"109","S07_22450712",1
"110","S07_4674768",1
"111","S07_56555966",1
"112","S07_59132291",1
"113","S07_59143524",1
"114","S07_59183649",21
"115","S07_59186523",1
"116","S07_59575509",5
"117","S07_59609295",3
"118","S07_59629436",57
"119","S07_60063146",1
"120","S07_61266635",2
"121","S07_61885958",3
"122","S08_1070070",16
"123","S08_281842",1
"124","S08_39394356",1
"125","S08_55023753",3
"126","S08_55231823",1
"127","S08_56050272",4
"128","S08_56054674",1
"129","S08_58185895",1
"130","S08_58562797",1
"131","S08_6646752",1
"132","S09_1126262",1
"133","S09_17063540",1
"134","S09_47145472",1
"135","S09_49154241",1
"136","S09_50081318",1
"137","S09_54902896",1
"138","S09_56955177",1
"139","S10_1049733",8
"140","S10_12825183",1
"141","S10_16074365",3
"142","S10_18468501",2
"143","S10_20627667",3
"144","S10_311148",1
"145","S10_32456444",1
"146","S10_32780146",1
"147","S10_37115259",1
"148","S10_45917549",1
"149","S10_52750934",22
"150","S10_52867513",10
"151","S10_53096543",1
"152","S10_53230810",1
"153","S10_55680239",2
"154","S10_55837574",2
"155","S10_56272348",1
"156","S10_58065449",1
"157","S10_58480629",4
"158","S10_6360518",1
